         ps       /tb_hybrid_control/HC_inst/i_vC    /tb_hybrid_control/HC_inst/z2       /tb_hybrid_control/HC_half_inst/z2                                          
          delta          /tb_hybrid_control/HC_inst/i_iC        /tb_hybrid_control/HC_inst/jump   /tb_hybrid_control/HC_half_inst/jump_1                             
                                        /tb_hybrid_control/HC_inst/z1       /tb_hybrid_control/HC_half_inst/z1    /tb_hybrid_control/HC_half_inst/sigma              
                                                                 /tb_hybrid_control/HC_inst/sigma              /tb_hybrid_control/HC_half_inst/jump_2                
          0  +0                                 x      x            x            x            x 0            x            x            x            x 0 
    5900000  +1                              7865  -2285         9831        -2285      2304662 0         9831        -2285      2304662      9826430 0 
    6000000  +1                              7790  -2531         9756        -2531      2550512 0         9756        -2531      2550512      9750938 0 
    6100000  +1                              7706  -2774         9672        -2774      2793344 0         9672        -2774      2793344      9666452 0 
    6200000  +1                              7615  -3015         9581        -3015      3034162 0         9581        -3015      3034162      9574970 0 
    6300000  +1                              7517  -3253         9483        -3253      3271966 0         9483        -3253      3271966      9476494 0 
    6400000  +1                              7411  -3487         9377        -3487      3505754 0         9377        -3487      3505754      9370026 0 
    6500000  +1                              7298  -3718         9264        -3718      3736528 0         9264        -3718      3736528      9256564 0 
    6600000  +1                              7177  -3946         9143        -3946      3964286 0         9143        -3946      3964286      9135108 0 
    6700000  +1                              7050  -4169         9016        -4169      4187032 0         9016        -4169      4187032      9007662 0 
    6800000  +1                              6915  -4388         8881        -4388      4405762 0         8881        -4388      4405762      8872224 0 
    6900000  +1                              6774  -4604         8740        -4604      4621480 0         8740        -4604      4621480      8730792 0 
    7000000  +1                              6626  -4814         8592        -4814      4831184 0         8592        -4814      4831184      8582372 0 
    7100000  +1                              6472  -5020         8438        -5020      5036876 0         8438        -5020      5036876      8427960 0 
    7200000  +1                              6311  -5221         8277        -5221      5237554 0         8277        -5221      5237554      8266558 0 
    7300000  +1                              6144  -5416         8110        -5416      5432220 0         8110        -5416      5432220      8099168 0 
    7400000  +1                              5970  -5607         7936        -5607      5622872 0         7936        -5607      5622872      7924786 0 
    7500000  +1                              5791  -5791         7757        -5791      5806514 0         7757        -5791      5806514      7745418 0 
    7600000  +1                              5607  -5970         7573        -5970      5985146 0         7573        -5970      5985146      7561060 0 
    7700000  +1                              5416  -6144         7382        -6144      6158764 0         7382        -6144      6158764      7369712 0 
    7800000  +1                              5221  -6311         7187        -6311      6325374 0         7187        -6311      6325374      7174378 0 
    7900000  +1                              5020  -6472         6986        -6472      6485972 0         6986        -6472      6485972      6973056 0 
    8000000  +1                              4814  -6626         6780        -6626      6639560 0         6780        -6626      6639560      6766748 0 
    8100000  +1                              4604  -6774         6570        -6774      6787140 0         6570        -6774      6787140      6556452 0 
    8200000  +1                              4388  -6915         6354        -6915      6927708 0         6354        -6915      6927708      6340170 0 
    8300000  +1                              4169  -7050         6135        -7050      7062270 0         6135        -7050      7062270      6120900 0 
    8400000  +1                              3946  -7177         5912        -7177      7188824 0         5912        -7177      7188824      5897646 0 
    8500000  +1                              3718  -7298         5684        -7298      7309368 0         5684        -7298      7309368      5669404 0 
    8600000  +1                              3487  -7411         5453        -7411      7421906 0         5453        -7411      7421906      5438178 0 
    8700000  +1                              3253  -7517         5219        -7517      7527438 0         5219        -7517      7527438      5203966 0 
    8800000  +1                              3015  -7615         4981        -7615      7624962 0         4981        -7615      7624962      4965770 0 
    8900000  +1                              2774  -7706         4740        -7706      7715480 0         4740        -7706      7715480      4724588 0 
    9000000  +1                              2531  -7790         4497        -7790      7798994 0         4497        -7790      7798994      4481420 0 
    9100000  +1                              2285  -7865         4251        -7865      7873502 0         4251        -7865      7873502      4235270 0 
    9200000  +1                              2037  -7933         4003        -7933      7941006 0         4003        -7933      7941006      3987134 0 
    9300000  +1                              1786  -7993         3752        -7993      8000504 0         3752        -7993      8000504      3736014 0 
    9400000  +1                              1534  -8045         3500        -8045      8052000 0         3500        -8045      8052000      3483910 0 
    9500000  +1                              1281  -8090         3247        -8090      8096494 0         3247        -8090      8096494      3230820 0 
    9600000  +1                              1026  -8126         2992        -8126      8131984 0         2992        -8126      8131984      2975748 0 
    9700000  +1                               770  -8154         2736        -8154      8159472 0         2736        -8154      8159472      2719692 0 
    9800000  +1                               514  -8174         2480        -8174      8178960 0         2480        -8174      8178960      2463652 0 
    9900000  +1                               257  -8186         2223        -8186      8190446 0         2223        -8186      8190446      2206628 0 
   10000000  +1                                 0  -8191         1966        -8191      8194932 0         1966        -8191      8194932      1949618 0 
