         ps       /tb_hybrid_control/HC_inst/o_sigma        /tb_hybrid_control/HC_inst/vC_32      /tb_hybrid_control/HC_inst/stheta        /tb_hybrid_control/HC_inst/jump             /tb_hybrid_control/HC_inst/z12                                 
          delta             /tb_hybrid_control/HC_inst/i_vC              /tb_hybrid_control/HC_inst/iC_32          /tb_hybrid_control/HC_inst/z1          /tb_hybrid_control/HC_inst/jump_1         /tb_hybrid_control/HC_inst/z22                    
                                   /tb_hybrid_control/HC_inst/i_iC                   /tb_hybrid_control/HC_inst/ctheta          /tb_hybrid_control/HC_inst/z2          /tb_hybrid_control/HC_inst/jump_2                                              
                                             /tb_hybrid_control/HC_inst/i_theta                                                             /tb_hybrid_control/HC_inst/sigma                                                                          
                                                                                                                                                 /tb_hybrid_control/HC_inst/s2                                                                        
          0  +0                                  StX      x      x            x            x            x            x            x            x            x            x 1 0            x            x            x            x 
    4200000  +1                                  St1   7933   2037          314         7933         2037        -1000            2         5967         2037     -2025066 1 0     -2017202      9903074         9899         2037 
    4300000  +1                                  St1   7993   1786          314         7993         1786        -1000            2         6027         1786     -1773946 1 0     -1766082      9962572         9959         1786 
    4400000  +1                                  St1   8045   1534          314         8045         1534        -1000            2         6079         1534     -1521842 1 0     -1513978     10014068        10011         1534 
    4500000  +1                                  St1   8090   1281          314         8090         1281        -1000            2         6124         1281     -1268752 1 0     -1260888     10058562        10056         1281 
    4600000  +1                                  St1   8126   1026          314         8126         1026        -1000            2         6160         1026     -1013680 1 0     -1005816     10094052        10092         1026 
    4700000  +1                                  St1   8154    770          314         8154          770        -1000            2         6188          770      -757624 1 0      -749760     10121540        10120          770 
    4800000  +1                                  St1   8174    514          314         8174          514        -1000            2         6208          514      -501584 1 0      -493720     10141028        10140          514 
    4900000  +1                                  St1   8186    257          314         8186          257        -1000            2         6220          257      -244560 1 0      -236696     10152514        10152          257 
    5000000  +1                                  St1   8191      0          314         8191            0        -1000            2         6225            0        12450 1 0        20314     10157000        10157            0 
    5000000  +2                                  St1   8191      0          314         8191            0        -1000            2         6225            0        12450 0 0        20314     10157000        10157            0 
    5000000  +3                                  St0   8191      0          314         8191            0        -1000            2         6225            0        12450 0 0        20314     10157000        10157            0 
    5010000  +2                                  St0   8191      0          314         8191            0        -1000            2        10157            0        20314 0 0        20314     10157000        10157            0 
