         ps       /tb_hybrid_control/HC_inst/i_vC    /tb_hybrid_control/HC_inst/z2       /tb_hybrid_control/HC_half_inst/z2                                          
          delta          /tb_hybrid_control/HC_inst/i_iC        /tb_hybrid_control/HC_inst/jump   /tb_hybrid_control/HC_half_inst/jump_1                             
                                        /tb_hybrid_control/HC_inst/z1       /tb_hybrid_control/HC_half_inst/z1    /tb_hybrid_control/HC_half_inst/sigma              
                                                                 /tb_hybrid_control/HC_inst/sigma              /tb_hybrid_control/HC_half_inst/jump_2                
          0  +0                                 x      x            x            x            x 1            x            x            x            x 1 
    6500000  +1                              2369   1370          403         1370      -688988 1          403         1370       688988     -1250610 1 
    6600000  +1                              2410   1342          444         1342      -640244 1          444         1342       640244     -1260008 1 
    6700000  +1                              2450   1314          484         1314      -592204 1          484         1314       592204     -1268696 1 
    6800000  +1                              2489   1284          523         1284      -543448 1          523         1284       543448     -1275266 1 
    6900000  +1                              2527   1254          561         1254      -495396 1          561         1254       495396     -1281126 1 
    7000000  +1                              2564   1222          598         1222      -446628 1          598         1222       446628     -1284868 1 
    7100000  +1                              2600   1190          634         1190      -398564 1          634         1190       398564     -1287900 1 
    7200000  +1                              2635   1157          669         1157      -350494 1          669         1157       350494     -1289518 1 
    7300000  +1                              2670   1123          704         1123      -301714 1          704         1123       301714     -1290432 1 
    7400000  +1                              2703   1088          737         1088      -253632 1          737         1088       253632     -1289222 1 
    7500000  +1                              2735   1053          769         1053      -206254 1          769         1053       206254     -1287302 1 
    7600000  +1                              2766   1017          800         1017      -158870 1          800         1017       158870     -1283968 1 
    7700000  +1                              2796    980          830          980      -111480 1          830          980       111480     -1279220 1 
    7800000  +1                              2825    942          859          942       -64084 1          859          942        64084     -1273058 1 
    7900000  +1                              2844    908          878          908       -26568 1          878          908        26568     -1262612 1 
    8000000  +1                              2869    740          903          740       110312 1          903          740      -110312     -1162090 1 
    8000000  +2                              2869    740          903          740       110312 0          903          740      -110312     -1162090 0 
    8010000  +2                              2869    740         4835          740      2878440 0         4835          740      2878440      3953810 0 
    8100000  +1                              2888    574         4854          574      3009676 0         4854          574      3009676      3850436 0 
    8200000  +1                              2903    409         4869          409      3137386 0         4869          409      3137386      3744926 0 
    8300000  +1                              2913    245         4879          245      3260866 0         4879          245      3260866      3636570 0 
    8400000  +1                              2918     82         4884           82      3380116 0         4884           82      3380116      3525368 0 
    8500000  +1                              2918    -78         4884          -78      3493716 0         4884          -78      3493716      3412728 0 
    8600000  +1                              2913   -238         4879         -238      3603796 0         4879         -238      3603796      3296538 0 
    8700000  +1                              2904   -396         4870         -396      3709640 0         4870         -396      3709640      3178916 0 
    8800000  +1                              2889   -552         4855         -552      3809840 0         4855         -552      3809840      3058442 0 
    8900000  +1                              2870   -705         4836         -705      3905094 0         4836         -705      3905094      2937240 0 
    9000000  +1                              2847   -857         4813         -857      3996822 0         4813         -857      3996822      2813902 0 
    9100000  +1                              2819  -1006         4785        -1006      4082900 0         4785        -1006      4082900      2689126 0 
    9200000  +1                              2787  -1153         4753        -1153      4164742 0         4753        -1153      4164742      2562918 0 
    9300000  +1                              2750  -1297         4716        -1297      4240934 0         4716        -1297      4240934      2435272 0 
    9400000  +1                              2709  -1438         4675        -1438      4312180 0         4675        -1438      4312180      2306898 0 
    9500000  +1                              2664  -1577         4630        -1577      4379190 0         4630        -1577      4379190      2177092 0 
    9600000  +1                              2614  -1713         4580        -1713      4440550 0         4580        -1713      4440550      2045848 0 
    9700000  +1                              2561  -1845         4527        -1845      4496958 0         4527        -1845      4496958      1915290 0 
    9800000  +1                              2504  -1975         4470        -1975      4549130 0         4470        -1975      4549130      1783300 0 
    9900000  +1                              2442  -2101         4408        -2101      4594942 0         4408        -2101      4594942      1650576 0 
   10000000  +1                              2377  -2224         4343        -2224      4636512 0         4343        -2224      4636512      1517834 0 
   10100000  +1                              2309  -2344         4275        -2344      4673840 0         4275        -2344      4673840      1385074 0 
   10200000  +1                              2237  -2460         4203        -2460      4705512 0         4203        -2460      4705512      1252290 0 
   10300000  +1                              2161  -2572         4127        -2572      4731528 0         4127        -2572      4731528      1119482 0 
   10400000  +1                              2082  -2681         4048        -2681      4753302 0         4048        -2681      4753302       986656 0 
   10500000  +1                              2000  -2787         3966        -2787      4770834 0         3966        -2787      4770834       853812 0 
   10600000  +1                              1915  -2888         3881        -2888      4782704 0         3881        -2888      4782704       722358 0 
   10700000  +1                              1827  -2986         3793        -2986      4790332 0         3793        -2986      4790332       590886 0 
   10800000  +1                              1736  -3079         3702        -3079      4792298 0         3702        -3079      4792298       460804 0 
   10900000  +1                              1642  -3169         3608        -3169      4790022 0         3608        -3169      4790022       330704 0 
   11000000  +1                              1546  -3255         3512        -3255      4783498 0         3512        -3255      4783498       202000 0 
   11100000  +1                              1447  -3336         3413        -3336      4771312 0         3413        -3336      4771312        74686 0 
   11200000  +1                              1346  -3414         3312        -3414      4755588 0         3312        -3414      4755588       -51936 0 
   11300000  +1                              1242  -3487         3208        -3487      4734202 0         3208        -3487      4734202      -177168 0 
   11400000  +1                              1137  -3557         3103        -3557      4709982 0         3103        -3557      4709982      -300998 0 
   11500000  +1                              1029  -3622         2995        -3622      4680100 0         2995        -3622      4680100      -423438 0 
   11600000  +1                               919  -3683         2885        -3683      4645970 0         2885        -3683      4645970      -544482 0 
   11700000  +1                               808  -3739         2774        -3739      4607586 0         2774        -3739      4607586      -662716 0 
   11800000  +1                               695  -3792         2661        -3792      4565664 0         2661        -3792      4565664      -780258 0 
   11900000  +1                               581  -3840         2547        -3840      4519488 0         2547        -3840      4519488      -894990 0 
   12000000  +1                               465  -3884         2431        -3884      4469064 0         2431        -3884      4469064     -1008326 0 
   12100000  +1                               348  -3923         2314        -3923      4414386 0         2314        -3923      4414386     -1118852 0 
   12200000  +1                               229  -3959         2195        -3959      4356170 0         2195        -3959      4356170     -1228686 0 
   12300000  +1                               110  -3990         2076        -3990      4294404 0         2076        -3990      4294404     -1335000 0 
   12400000  +1                                -9  -4017         1957        -4017      4229798 0         1957        -4017      4229798     -1438498 0 
   12500000  +1                              -130  -4039         1836        -4039      4160234 0         1836        -4039      4160234     -1539896 0 
   12600000  +1                              -251  -4058         1715        -4058      4088540 0         1715        -4058      4088540     -1639182 0 
   12700000  +1                              -373  -4072         1593        -4072      4012592 0         1593        -4072      4012592     -1735658 0 
   12800000  +1                              -496  -4082         1470        -4082      3933100 0         1470        -4082      3933100     -1830028 0 
   12900000  +1                              -618  -4088         1348        -4088      3851472 0         1348        -4088      3851472     -1920872 0 
   13000000  +1                              -741  -4090         1225        -4090      3766300 0         1225        -4090      3766300     -2009610 0 
   13100000  +1                              -864  -4088         1102        -4088      3678288 0         1102        -4088      3678288     -2095532 0 
   13200000  +1                              -986  -4082          980        -4082      3588140 0          980        -4082      3588140     -2177928 0 
   13300000  +1                             -1109  -4072          857        -4072      3494448 0          857        -4072      3494448     -2258218 0 
   13400000  +1                             -1231  -4058          735        -4058      3398620 0          735        -4058      3398620     -2334982 0 
   13500000  +1                             -1352  -4040          614        -4040      3300656 0          614        -4040      3300656     -2408220 0 
   13600000  +1                             -1473  -4018          493        -4018      3199852 0          493        -4018      3199852     -2478642 0 
   13700000  +1                             -1593  -3993          373        -3993      3097622 0          373        -3993      3097622     -2546242 0 
   13800000  +1                             -1713  -3964          253        -3964      2992552 0          253        -3964      2992552     -2611026 0 
   13900000  +1                             -1831  -3931          135        -3931      2886050 0          135        -3931      2886050     -2671574 0 
   14000000  +1                             -1949  -3895           17        -3895      2777418 0           17        -3895      2777418     -2730010 0 
   14100000  +1                             -2065  -3855          -99        -3855      2667354 0          -99        -3855      2667354     -2784210 0 
   14200000  +1                             -2180  -3812         -214        -3812      2555864 0         -214        -3812      2555864     -2835588 0 
   14300000  +1                             -2294  -3766         -328        -3766      2442948 0         -328        -3766      2442948     -2884144 0 
   14400000  +1                             -2406  -3716         -440        -3716      2328600 0         -440        -3716      2328600     -2928464 0 
   14500000  +1                             -2516  -3663         -550        -3663      2213530 0         -550        -3663      2213530     -2969252 0 
   14600000  +1                             -2626  -3607         -660        -3607      2096330 0         -660        -3607      2096330     -3007928 0 
   14700000  +1                             -2733  -3548         -767        -3548      1979112 0         -767        -3548      1979112     -3042362 0 
   14800000  +1                             -2838  -3486         -872        -3486      1861172 0         -872        -3486      1861172     -3073264 0 
   14900000  +1                             -2942  -3421         -976        -3421      1741806 0         -976        -3421      1741806     -3101344 0 
   15000000  +1                             -3044  -3354        -1078        -3354      1622428 0        -1078        -3354      1622428     -3126596 0 
   15100000  +1                             -3143  -3284        -1177        -3284      1503032 0        -1177        -3284      1503032     -3147606 0 
   15200000  +1                             -3241  -3211        -1275        -3211      1382210 0        -1275        -3211      1382210     -3165794 0 
   15300000  +1                             -3336  -3136        -1370        -3136      1262080 0        -1370        -3136      1262080     -3180444 0 
   15400000  +1                             -3429  -3059        -1463        -3059      1141938 0        -1463        -3059      1141938     -3192266 0 
   15500000  +1                             -3520  -2979        -1554        -2979      1021074 0        -1554        -2979      1021074     -3200556 0 
   15600000  +1                             -3608  -2897        -1642        -2897       900902 0        -1642        -2897       900902     -3205308 0 
   15700000  +1                             -3693  -2813        -1727        -2813       781422 0        -1727        -2813       781422     -3206522 0 
   15800000  +1                             -3776  -2727        -1810        -2727       661930 0        -1810        -2727       661930     -3204908 0 
   15900000  +1                             -3857  -2640        -1891        -2640       543136 0        -1891        -2640       543136     -3201170 0 
   16000000  +1                             -3935  -2550        -1969        -2550       424324 0        -1969        -2550       424324     -3193190 0 
   16100000  +1                             -4010  -2459        -2044        -2459       306914 0        -2044        -2459       306914     -3182376 0 
   16200000  +1                             -4082  -2367        -2116        -2367       190906 0        -2116        -2367       190906     -3168728 0 
   16300000  +1                             -4143  -2285        -2177        -2285        89742 0        -2177        -2285        89742     -3154310 0 
   16400000  +1                             -4174  -2182        -2208        -2182        -5212 0        -2208        -2182        -5212     -3103808 0 
   16400000  +2                             -4174  -2182        -2208        -2182        -5212 1        -2208        -2182        -5212     -3103808 1 
   16410000  +2                             -4174  -2182        -6140        -2182     -2773340 1        -6140        -2182      2773340      5895528 1 
   16500000  +1                             -4236  -1957        -6202        -1957     -2976738 1        -6202        -1957      2976738      5781148 1 
